ID	T 	S	PO4	NH4	NO2	NO3	SiO4	PM 	Chla 	PA
	°C		µM	µM	µM	µM	µM	µg l^1	µg l^1	× 10^5 cells l^m1
2	25.8	36.1	0.01	0.216	0.033	0.342	3.175	5.47	0.31	8.966
3	26.1	35.8	0.015	0.819	0.061	1.122	2.644	5.88	0.26	3.821
4	25.5	36.9	0.015	0.48	0.046	1.132	2.046	9.33	0.3	6.669
5	25	37	0	0.45	0.059	1.141	2.827	7.2	0.27	6.798
6	26.5	37.8	0	0.708	0.052	0.575	1.708	11.62	0.33	10.023
7	26.5	36.7	0.02	0.456	0.05	0.569	2.355	5.46	0.28	8.765
8	25	37.2	0.045	1.195	0.077	1.374	1.583	7.07	0.31	7.855
9	25.2	36.6	0.015	0.622	0.107	1.607	2.142	6.03	0.35	8.457
10	22.8	34.2	0.176	1.885	0.142	6.242	9.824	10.97	0.89	7.929
11	22.5	37.6	0.081	1.14	0.111	2.153	2.268	10.98	0.85	8.23
12	19.9	37.9	0.03	0.505	0.063	0.743	2.47	7.55	0.63	4.7
13	19.5	38.3	0.015	0.444	0.075	1.921	1.795	7.56	0.64	3.777
14	16.1	38.5	0.02	0.82	0.06	1.12	2.64	8.94	0.61	2.619
15	15.7	38.5	0	0.453	0.061	1.142	2.834	7.95	0.69	2.776
16	12.8	36.6	0.02	0.46	0.05	0.57	2.35	12.34	0.4	4.289
17	13.2	37.6	0.021	0.621	0.113	1.613	2.143	15.47	0.47	3.499
18	9.7	37.5	0.08	1.14	0.11	2.15	2.273	5.64	0.31	4.088
19	9.5	36.5	0.02	0.442	0.082	1.924	1.792	7.16	0.32	5.238
20	9.6	37.4	0	0.542	0.136	1.667	3.199	3.84	0.3	3.969
21	9.9	38	0	0.579	0.124	0.963	2.325	4.94	0.3	3.365
22	16	36	0	0.616	0.029	1.004	3.805	12.64	0.55	6.568
23	16.6	35.9	0	0.474	0.025	1.17	1.332	9.35	0.56	6.289
24	19.8	36.8	0	0.314	0.01	0.855	1.341	10.97	0.47	8.324
25	20.5	37.1	0	1.164	0.037	1.749	2.229	7.65	0.41	6.869
26	23	36	0	0.702	0.037	1.65	1.901	9.63	0.31	9.796
27	23.7	37	0	0.844	0.031	0.944	3.213	5.54	0.28	7.773
28	23.7	36.4	0.01	1.152	0.025	1.162	1.254	12.09	0.43	11.267
29	24	37.2	0.02	1.016	0.056	1.261	2.489	6.13	0.39	8.877
30	27.7	35.2	0.025	0.906	0.043	0.652	1.853	14.21	0.39	6.702
31	27.7	35.5	0.045	0.505	0.049	0.907	2.306	4.94	0.36	7.842
32	24	35.1	0	0.487	0.048	0.487	3.522	11.15	0.39	5.743
33	24.4	35.6	0.01	0.277	0.065	0.931	2.326	6.84	0.34	4.98
34	20.1	35.9	0.195	0.721	0.043	0.855	0.769	13.75	0.55	4.441
35	20.2	35.8	0.025	0.53	0.06	1.661	1.245	5.71	0.58	5.219
